url,SCN5A,Nav1.5,Scn5a,SkM1,Sodium channel protein type 5 subunit alpha,Sodium channel protein cardiac muscle subunit alpha,Sodium channel protein type V subunit alpha,Voltage-gated sodium channel subunit alpha Nav1.5,sodium voltage-gated channel alpha subunit 5,cardiac tetrodotoxin-insensitive voltage-dependent sodium channel alpha subunit,Nav1.5c,SkM2,antibody,anti-body,antibodies,anti-bodies,mouse,mice,mus musculus
https://pmc.ncbi.nlm.nih.gov/articles/PMC4024745/,0,2,0,0,0,0,0,0,0,0,0,0,3,0,1,0,35,72,0
https://pmc.ncbi.nlm.nih.gov/articles/PMC4198950/,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,19,46,0
https://pmc.ncbi.nlm.nih.gov/articles/PMC3938566/,1,0,1,0,0,0,0,0,0,0,0,0,8,0,0,0,2,0,0
https://pmc.ncbi.nlm.nih.gov/articles/PMC6460565/,5,0,5,0,0,0,0,0,0,0,0,0,14,0,6,0,2,1,0
https://pmc.ncbi.nlm.nih.gov/articles/PMC7969005/,1,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0
https://pmc.ncbi.nlm.nih.gov/articles/PMC5130989/,0,3,0,0,0,0,0,0,0,0,0,0,2,0,3,0,24,81,0
https://pmc.ncbi.nlm.nih.gov/articles/PMC9727999/,1,0,1,0,0,0,0,0,0,0,0,0,7,0,21,0,5,3,0
https://pmc.ncbi.nlm.nih.gov/articles/PMC3898078/,1,0,1,0,0,0,0,0,0,0,0,0,2,0,10,0,7,2,0
https://pmc.ncbi.nlm.nih.gov/articles/PMC10957924/,0,1,0,0,0,0,0,0,0,0,0,0,3,0,1,0,13,3,0
https://pmc.ncbi.nlm.nih.gov/articles/PMC3808613/,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,0
https://pmc.ncbi.nlm.nih.gov/articles/PMC312409/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
https://pmc.ncbi.nlm.nih.gov/articles/PMC6844634/,3,0,3,0,0,0,0,0,0,0,0,0,31,0,1,0,2,1,0
